CNAE;DESCRIÇÃO;INCOMODIDADE;OBS;INSCRIÇÃO;ZONA_ZC;GRUPO_ATV;ENDEREÇO;AREA_TERRENO;AREA_EDIF
111301;Cultivo de arroz;0;;100;ZM;A1;13270-500 - Rua Pedro Carlos Cagliari, 26;280,00;164,87
111302;Cultivo de milho;0;;1000;ZC4_ZC2;A2;13274-125 - Rua Doze de Outubro;457,60;0,00
111303;Cultivo de trigo;0;;10000;ZC4;A2;13276-090 - Rua Doutor Antônio de Castro Prado, 436;300,00;252,34
111399;Cultivo de outros cereais não especificados anteriormente;0;;100000;ZC4_ZC3;A3;13276-030 - Avenida Independência, 376;331,10;180,76
112101;Cultivo de algodão herbáceo;0;;1000000;ZRRM1_ZC1;A2;13279-071 - Avenida Arquiteto Clayton Alves Corrêa, 419;2.055,00;336,50
112102;Cultivo de juta;0;;1000100;ZRRM1_ZC1;A2;13279-071 - Avenida Arquiteto Clayton Alves Corrêa, 433441;1.562,00;1.336,18
112199;Cultivo de outras fibras de lavoura temporária não especificadas anteriormente;0;;1000200;ZDE2_ZC1;A3;13279-071 - Avenida Arquiteto Clayton Alves Corrêa, 389393;1.180,00;1.008,97
113000;Cultivo de cana-de-açúcar;0;;1000300;ZDE2_ZC1;A3;13279-071 - Avenida Arquiteto Clayton Alves Corrêa, 327;1.220,00;2.321,42
114800;Cultivo de fumo;0;;1000400;ZDE2_ZC1;A3;13279-071 - Avenida Arquiteto Clayton Alves Corrêa, 307;1.260,00;271,55
115600;Cultivo de soja;0;;1000500;ZDE2_ZC1;A3;13279-071 - Avenida Arquiteto Clayton Alves Corrêa, 135;1.290,00;343,02
116401;Cultivo de amendoim;0;;100100;ZC4_ZC3;A3;13276-005 - Rua Prof. Cristiano Wolkart, 76;421,40;243,48
116402;Cultivo de girassol;0;;1001100;ZDE2;A3;13279-015 - Rua Waldemar Salveri, 114;1.460,00;746,56
116403;Cultivo de mamona;0;;1001200;ZDE2;A3;13279-015 - Rua Waldemar Salveri, 122;2.800,00;351,10
116499;Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente;0;;1001300;ZDE2_ZC3;A3;13279-015 - Rua Waldemar Salveri, 101;894,20;155,97
119901;Cultivo de abacaxi;0;;1001500;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 338;3.946,20;756,48
119902;Cultivo de alho;0;;1001600;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 368;1.633,00;1.816,83
119903;Cultivo de batata-inglesa;0;;1001700;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 394;1.500,00;737,10
119904;Cultivo de cebola;0;;1001800;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 414;1.500,00;744,80
119905;Cultivo de feijão;0;;1001900;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 430Nº 434;1.500,00;742,00
119906;Cultivo de mandioca;0;;100200;ZM;A1;13270-294 - Rua José Ezequiel da Silva, 51;300,00;102,68
119907;Cultivo de melão;0;;1002000;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 454;2.300,00;859,61
119908;Cultivo de melancia;0;;1002100;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 604;3.436,00;1.654,92
119909;Cultivo de tomate rasteiro;0;;1002300;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 666;1.460,00;266,33
119999;Cultivo de outras plantas de lavoura temporária não especificadas anteriormente;0;;1002800;ZDE2;A3;13279-074 - Rua Julio Barchesi, 0;1.410,00;223,63
121101;Horticultura, exceto morango;0;;1002900;ZDE2;A3;13279-074 - Rua Julio Barchesi, 0;1.270,00;0,00
121102;Cultivo de morango;0;;100300;ZM;A1;13277-050 - Rua Fernão Dias, 25;300,00;181,03
122900;Cultivo de flores e plantas ornamentais;0;;1003200;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 700;5.992,00;704,67
131800;Cultivo de laranja;0;;1003400;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 0R.JULIO BARCHESI 191 ESQUINA COM R. BENJAMIN DE PAULA FRANÇA;3.505,00;551,66
132600;Cultivo de uva;0;;1003600;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 0;2.115,58;0,00
133401;Cultivo de açaí;0;;1003700;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 0;1.991,70;0,00
133402;Cultivo de banana;0;;1003800;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 0;2.170,00;0,00
133403;Cultivo de caju;0;;1003900;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 0;2.390,00;0,00
133404;Cultivo de cítricos, exceto laranja;0;;100400;ZM_ZC2;A2;13272-350 - Rua Campos Salles, 215223;432,39;690,20
133405;Cultivo de coco-da-baía;0;;1004000;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 0;3.020,00;0,00
133406;Cultivo de guaraná;0;;1004100;ZDE2_ZC3;A3;13279-173 - Avenida Benjamin de Paula França, 1260;2.000,00;494,60
133407;Cultivo de maçã;0;;1004200;ZDE2;A3;13279-080 - Rua Professor Richard Trombetta, 38;1.008,00;967,31
133408;Cultivo de mamão;0;;1004300;ZDE2;A3;13279-080 - Rua Professor Richard Trombetta, 64;1.280,00;743,00
