CNAE;DESCRIÇÃO;incomodidade_MEI
159802;Criação de animais de estimação;3
161001;Serviço de pulverização e controle de pragas agrícolas;0
161002;Serviço de poda de árvores para lavouras;0
161003;Serviço de preparação de terreno, cultivo e colheita;0
162802;Serviço de tosquiamento de ovinos;0
162803;Serviço de manejo de animais;0
170900;Caça e serviços relacionados;0
220903;Coleta de castanha-do-pará em florestas nativas;0
220904;Coleta de látex em florestas nativas;0
220905;Coleta de palmito em florestas nativas;0
220906;Conservação de florestas nativas;0
220999;Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas;0
311604;Atividades de apoio à pesca em água salgada;5
312403;Coleta de outros produtos aquáticos de água doce;0
321304;Criação de peixes ornamentais em água salgada e salobra;0
322104;Criação de peixes ornamentais em água doce;0
322199;Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente;0
892401;Extração de sal marinho;5
1013901;Fabricação de produtos de carne;2
1013901;Fabricação de produtos de carne;2
1031700;Fabricação de conservas de frutas;1
1031700;Fabricação de conservas de frutas;1
1032599;Fabricação de conservas de legumes e outros vegetais, exceto palmito;1
1033302;Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados;1
1052000;Fabricação de laticínios;2
1053800;Fabricação de sorvetes e outros gelados comestíveis;1
1061902;Fabricação de produtos do arroz;2
1063500;Fabricação de farinha de mandioca e derivados;2
1064300;Fabricação de farinha de milho e derivados, exceto óleos de milho;2
1065101;Fabricação de amidos e féculas de vegetais;2
1069400;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;2
1071600;Fabricação de açúcar em bruto;2
1071600;Fabricação de açúcar em bruto;2
1092900;Fabricação de biscoitos e bolachas;1
1093701;Fabricação de produtos derivados do cacau e de chocolates;1
1093702;Fabricação de frutas cristalizadas, balas e semelhantes;1
1094500;Fabricação de massas alimentícias;1
1095300;Fabricação de especiarias, molhos, temperos e condimentos;1
1096100;Fabricação de alimentos e pratos prontos;1
1099601;Fabricação de vinagres;2
1099604;Fabricação de gelo comum;2
1099605;Fabricação de produtos para infusão (chá, mate, etc.);1
1099699;Fabricação de outros produtos alimentícios não especificados anteriormente;1
1099699;Fabricação de outros produtos alimentícios não especificados anteriormente;1
1099699;Fabricação de outros produtos alimentícios não especificados anteriormente;1
1122403;Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas;2
1122499;Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente;2
1220499;Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos;2
1311100;Preparação e fiação de fibras de algodão;2
1312000;Preparação e fiação de fibras têxteis naturais, exceto algodão;2
1321900;Tecelagem de fios de algodão;2
1322700;Tecelagem de fios de fibras têxteis naturais, exceto algodão;1
1340599;Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário;1
1351100;Fabricação de artefatos têxteis para uso doméstico;1
1352900;Fabricação de artefatos de tapeçaria;1
1353700;Fabricação de artefatos de cordoaria;1
1359600;Fabricação de outros produtos têxteis não especificados anteriormente;1
1411801;Confecção de roupas íntimas;1
1411802;Facção de roupas íntimas;1
1412601;Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida;1
1412602;Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;1
1412602;Confecção, sob medida, de peças do vestuário, exceto roupas íntimas;1
1412603;Facção de peças do vestuário, exceto roupas íntimas;1
1413403;Facção de roupas profissionais;1
1414200;Fabricação de acessórios do vestuário, exceto para segurança e proteção;1
1414200;Fabricação de acessórios do vestuário, exceto para segurança e proteção;1
1414200;Fabricação de acessórios do vestuário, exceto para segurança e proteção;1
1421500;Fabricação de meias;1
1422300;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;1
1510600;Curtimento e outras preparações de couro;3
1521100;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;1
1521100;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;1
1521100;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;1
1529700;Fabricação de artefatos de couro não especificados anteriormente;1
1529700;Fabricação de artefatos de couro não especificados anteriormente;1
1531901;Fabricação de calçados de couro;1
1531902;Acabamento de calçados de couro sob contrato;1
1539400;Fabricação de calçados de materiais não especificados anteriormente;1
1540800;Fabricação de partes para calçados, de qualquer material;1
1622699;Fabricação de outros artigos de carpintaria para construção;1
1623400;Fabricação de artefatos de tanoaria e de embalagens de madeira;1
1623400;Fabricação de artefatos de tanoaria e de embalagens de madeira;1
1629301;Fabricação de artefatos diversos de madeira, exceto móveis;1
1629302;Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis;1
1721400;Fabricação de papel;1
1731100;Fabricação de embalagens de papel;1
1732000;Fabricação de embalagens de cartolina e papel-cartão;1
1742701;Fabricação de fraldas descartáveis;1
1742702;Fabricação de absorventes higiênicos;1
1742799;Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente;1
1749400;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;1
1813001;Impressão de material para uso publicitário;2
1813099;Impressão de material para outros usos;2
1821100;Serviços de pré-impressão;2
2052500;Fabricação de desinfestantes domissanitários;3
2061400;Fabricação de sabões e detergentes sintéticos;1
2062200;Fabricação de produtos de limpeza e polimento;1
2063100;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;1
2092402;Fabricação de artigos pirotécnicos;5
2219600;Fabricação de artefatos de borracha não especificados anteriormente;2
2229399;Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;2
2319200;Fabricação de artigos de vidro;2
2330305;Preparação de massa de concreto e argamassa para construção;3
2330399;Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;2
2342702;Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos;5
2349499;Fabricação de produtos cerâmicos não-refratários não especificados anteriormente;2
2391501;Britamento de pedras, exceto associado à extração;4
2391503;Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;3
2399101;Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal;1
2512800;Fabricação de esquadrias de metal;2
2532201;Produção de artefatos estampados de metal;4
2532201;Produção de artefatos estampados de metal;4
2539000;Serviços de usinagem, solda, tratamento e revestimento em metais;2
2539000;Serviços de usinagem, solda, tratamento e revestimento em metais;2
2539000;Serviços de usinagem, solda, tratamento e revestimento em metais;2
2541100;Fabricação de artigos de cutelaria;2
2542000;Fabricação de artigos de serralheria, exceto esquadrias;2
2543800;Fabricação de ferramentas;2
2543800;Fabricação de ferramentas;2
2599301;Serviços de confecção de armações metálicas para a construção;2
2599399;Fabricação de outros produtos de metal não especificados anteriormente;2
2740602;Fabricação de luminárias e outros equipamentos de iluminação;1
2950600;Recondicionamento e recuperação de motores para veículos automotores;2
3101200;Fabricação de móveis com predominância de madeira;2
3102100;Fabricação de móveis com predominância de metal;2
3103900;Fabricação de móveis de outros materiais, exceto madeira e metal;2
3104700;Fabricação de colchões;2
3211601;Lapidação de gemas;1
3211602;Fabricação de artefatos de joalheria e ourivesaria;1
3211603;Cunhagem de moedas e medalhas;1
3212400;Fabricação de bijuterias e artefatos semelhantes;1
3220500;Fabricação de instrumentos musicais, peças e acessórios;1
3230200;Fabricação de artefatos para pesca e esporte;1
3240099;Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente;1
3240099;Fabricação de outros brinquedos e jogos recreativos não especificados anteriormente;1
3250708;Fabricação de artefatos de tecido não tecido para uso odonto-médico-hospitalar;1
3291400;Fabricação de escovas, pincéis e vassouras;1
3299001;Fabricação de guarda-chuvas e similares;1
3299002;Fabricação de canetas, lápis e outros artigos para escritório;1
3299003;Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos;1
3299004;Fabricação de painéis e letreiros luminosos;2
3299005;Fabricação de aviamentos para costura;2
3299099;Fabricação de produtos diversos não especificados anteriormente;2
3311200;Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos;3
3313901;Manutenção e reparação de geradores, transformadores e motores elétricos;2
3313902;Manutenção e reparação de baterias e acumuladores elétricos, exceto para veículos;5
3313999;Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente;2
3314701;Manutenção e reparação de máquinas motrizes não-elétricas;2
3314702;Manutenção e reparação de equipamentos hidráulicos e pneumáticos, exceto válvulas;2
3314706;Manutenção e reparação de máquinas, aparelhos e equipamentos para instalações térmicas;2
